original_page,shuffled_page
1,118
2,11
3,59
4,64
5,106
6,109
7,112
8,113
9,74
10,57
11,90
12,34
13,36
14,125
15,86
16,100
17,65
18,133
19,128
20,44
21,22
22,58
23,141
24,117
25,99
26,15
27,62
28,101
29,137
30,107
31,33
32,83
33,81
34,73
35,110
36,2
37,61
38,48
39,20
40,28
41,13
42,130
43,114
44,1
45,7
46,75
47,136
48,144
49,67
50,126
51,77
52,68
53,12
54,97
55,66
56,47
57,43
58,92
59,49
60,82
61,52
62,105
63,88
64,16
65,63
66,139
67,46
68,53
69,127
70,129
71,135
72,111
73,124
74,3
75,131
76,25
77,138
78,120
79,134
80,32
81,98
82,103
83,69
84,121
85,72
86,89
87,91
88,51
89,54
90,93
91,17
92,29
93,27
94,19
95,146
96,8
97,142
98,55
99,80
100,31
101,10
102,41
103,21
104,79
105,119
106,37
107,42
108,26
109,56
110,78
111,140
112,18
113,38
114,104
115,35
116,5
117,95
118,9
119,84
120,143
121,50
122,30
123,102
124,40
125,39
126,96
127,71
128,132
129,147
130,70
131,122
132,23
133,76
134,108
135,4
136,116
137,94
138,6
139,14
140,45
141,123
142,60
143,85
144,87
145,24
146,115
147,145
