original_page,shuffled_page
1,3
2,131
3,124
4,128
5,44
6,2
7,73
8,81
9,83
10,109
11,53
12,127
13,113
14,90
15,34
16,112
17,100
18,65
19,66
20,117
21,48
22,38
23,126
24,47
25,43
26,92
27,134
28,61
29,20
30,28
31,110
32,93
33,141
34,11
35,94
36,130
37,37
38,144
39,8
40,78
41,10
42,80
43,99
44,58
45,137
46,107
47,45
48,14
49,30
50,88
51,16
52,36
53,125
54,22
55,79
56,13
57,77
58,68
59,12
60,7
61,31
62,142
63,49
64,33
65,86
66,63
67,139
68,64
69,106
70,35
71,114
72,102
73,132
74,60
75,40
76,46
77,72
78,118
79,59
80,6
81,121
82,51
83,103
84,69
85,54
86,146
87,133
88,101
89,29
90,27
91,19
92,4
93,105
94,104
95,41
96,140
97,119
98,87
99,21
100,55
101,120
102,95
103,75
104,136
105,74
106,57
107,97
108,84
109,143
110,50
111,108
112,135
113,111
114,24
115,1
116,17
117,62
118,98
119,32
120,18
121,82
122,26
123,42
124,67
125,56
126,52
127,116
128,96
129,23
130,129
131,85
132,9
133,25
134,145
135,89
136,39
137,115
138,71
139,76
140,122
141,138
142,91
143,70
144,147
145,5
146,15
147,123
