original_page,shuffled_page
1,125
2,81
3,46
4,38
5,29
6,2
7,44
8,100
9,9
10,117
11,65
12,36
13,112
14,113
15,90
16,139
17,64
18,106
19,48
20,30
21,40
22,99
23,70
24,60
25,132
26,108
27,51
28,91
29,31
30,49
31,33
32,111
33,71
34,104
35,103
36,72
37,32
38,98
39,79
40,126
41,77
42,97
43,84
44,73
45,105
46,141
47,28
48,6
49,62
50,45
51,14
52,129
53,135
54,131
55,137
56,107
57,86
58,66
59,16
60,11
61,1
62,7
63,39
64,10
65,92
66,142
67,43
68,80
69,59
70,118
71,128
72,58
73,61
74,63
75,5
76,75
77,55
78,115
79,54
80,146
81,94
82,102
83,110
84,93
85,74
86,57
87,95
88,22
89,35
90,114
91,130
92,88
93,68
94,12
95,83
96,109
97,53
98,85
99,101
100,4
101,47
102,34
103,56
104,52
105,124
106,50
107,122
108,143
109,116
110,96
111,15
112,20
113,121
114,19
115,133
116,145
117,41
118,21
119,67
120,3
121,42
122,37
123,144
124,78
125,140
126,13
127,82
128,17
129,25
130,136
131,120
132,127
133,8
134,119
135,87
136,69
137,123
138,27
139,24
140,26
141,76
142,138
143,89
144,147
145,23
146,134
147,18
