original_page,shuffled_page
1,51
2,103
3,69
4,121
5,28
6,110
7,73
8,81
9,83
10,109
11,53
12,127
13,113
14,90
15,34
16,112
17,100
18,65
19,66
20,117
21,48
22,38
23,126
24,47
25,43
26,92
27,134
28,61
29,20
30,99
31,58
32,141
33,11
34,128
35,44
36,2
37,59
38,64
39,106
40,35
41,114
42,130
43,37
44,144
45,8
46,78
47,10
48,80
49,31
50,142
51,49
52,12
53,7
54,16
55,36
56,125
57,22
58,79
59,93
60,72
61,107
62,45
63,14
64,30
65,88
66,9
67,131
68,124
69,84
70,143
71,50
72,132
73,60
74,40
75,46
76,139
77,111
78,24
79,1
80,133
81,101
82,137
83,32
84,98
85,13
86,77
87,68
88,95
89,75
90,136
91,120
92,86
93,63
94,118
95,91
96,39
97,74
98,57
99,97
100,102
101,23
102,135
103,15
104,62
105,29
106,27
107,19
108,146
109,42
110,67
111,17
112,129
113,85
114,6
115,104
116,41
117,140
118,119
119,87
120,21
121,55
122,5
123,56
124,52
125,105
126,54
127,82
128,108
129,145
130,33
131,116
132,4
133,122
134,76
135,70
136,147
137,138
138,25
139,123
140,18
141,115
142,89
143,3
144,96
145,71
146,94
147,26
